sim_indexes,-C(=O)O ,-C(=O)OC(=O)-,-C=O, -CF2, -CF3, -CN, -F, -NH2,-O-,-O-C(=C)-O-,-O-C=C-,-OC(=O)O-,-OC(=O)S-,-OS(=O)O-,-S(=O)(=O)-,-S(=O)-,-S(=O)O- ,-S-,C=C,N,NH,D[cat] m2/s,,Cla_0.0172
i0002,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.84E-11,,1
i0003,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.82E-11,,1
i0004,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.24E-11,,1
i0005,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.89E-11,,1
i0006,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.40E-11,,1
i0007,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.08E-11,,1
i0008,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.90E-11,,1
i0009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.16E-11,,1
i0010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.63E-11,,1
i0011,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.68E-11,,1
i0012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.73E-11,,1
i0013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.68E-11,,1
i0014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.35E-11,,1
i0015,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.49E-11,,1
i0016,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.30E-11,,1
i0017,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.92E-11,,1
i0018,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.44E-11,,0
i0019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.83E-11,,1
i0020,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.87E-11,,1
i0021,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.22E-11,,1
i0022,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.69E-11,,1
i0023,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.33E-11,,1
i0024,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.05E-11,,1
i0025,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.41E-11,,1
i0026,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.08E-11,,1
i0027,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.16E-11,,1
i0028,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.66E-11,,1
