Index,SMILES,Density,vdw,coulomb_interaction,D[cat] m2/s,Cla_75%
C=C(F)OC,C=C(F)OC,1445.49,-238.0958405,-951.5666806,2.98E-11,0
C=COCF,C=COCF,1446.08,-240.8386246,-922.0289563,4.47E-11,1
CC(=O)OC(C)(C)C,CC(=O)OC(C)(C)C,1442.03,-249.8593849,-833.7197255,2.41E-11,0
CC(=O)OC(C)C,CC(=O)OC(C)C,1440.47,-252.6350772,-898.4215815,2.32E-11,0
CC(=O)OCC(F)CF,CC(=O)OCC(F)CF,1463.38,-248.1807662,-959.4663938,2.36E-11,0
CC(=O)OCCC(C)F,CC(=O)OCCC(C)F,1449.51,-251.2363002,-939.1836499,1.62E-11,0
CC(=O)OCCOC(F)F,CC(=O)OCCOC(F)F,1466.5,-252.7231031,-964.3504492,1.15E-11,0
CC(C)OC(N)=O,CC(C)OC(N)=O,1448.04,-250.8742384,-884.5007637,1.66E-11,0
CC(C)OCC=O,CC(C)OCC=O,1440.68,-254.4012067,-932.3644559,2.34E-11,0
CC(F)(F)OCC(F)F,CC(F)(F)OCC(F)F,1472.28,-244.4650116,-967.3001826,2.24E-11,0
CC(F)OCF,CC(F)OCF,1458.51,-242.1874787,-930.9679381,3.56E-11,1
CC(O)OCCCF,CC(O)OCCCF,1451.23,-243.3968905,-931.1039771,3.41E-11,1
CCC(C)CCOC,CCC(C)CCOC,1432.84,-244.1453221,-915.8768407,1.69E-11,0
CCC(C)OC(=O)OC,CCC(C)OC(=O)OC,1450.05,-250.6652551,-959.4469838,2.61E-11,0
CCC(C)OCCF,CCC(C)OCCF,1440.18,-244.4366598,-942.5921436,3.36E-11,1
CCC(C)OCCOC,CCC(C)OCCOC,1437.36,-243.0708966,-935.5166687,3.74E-11,1
CCC(CCF)OC,CCC(CCF)OC,1439.06,-243.1978764,-942.2769418,2.93E-11,0
CCC(F)CCOC,CCC(F)CCOC,1438.94,-244.1406938,-930.6880531,2.23E-11,0
CCC(F)COC(C)=O,CCC(F)COC(C)=O,1448.55,-242.7254885,-943.5281314,3.45E-11,1
CCCC(=O)OC(F)F,CCCC(=O)OC(F)F,1460.48,-251.7018069,-909.16951,3.48E-11,1
CCCC(C)OC,CCCC(C)OC,1433.73,-249.3907108,-939.0195339,2.84E-11,0
CCCCCOC,CCCCCOC,1431.09,-240.51796,-910.0347371,3.36E-11,1
