Index,SMILES,Solvent_str,Density,vdw,coulomb_interaction,D[cat] m2/s,Cla_75%
i0002,N#CC1COCS1,0.37,1481.62,-257.1714664,-983.9263692,1.84E-11,0
i0003,CC(F)(F)C1CCCO1,0.44,1459.2,-243.7913055,-932.2189431,1.82E-11,0
i0004,CC1(C)COC(=O)O1,0.56,1458.81,-256.1842545,-877.5600212,2.24E-11,0
i0005,CC1COCC1C#N,0.48,1447.83,-248.1138829,-903.4163203,1.89E-11,0
i0006,CC1OCC(C#N)O1,0.52,1458.45,-249.319646,-931.8541285,2.40E-11,0
i0007,CC1OCCC1F,0.59,1450.96,-245.6202729,-939.3323774,3.08E-11,0
i0008,CC1OCCCC1(F)F,0.52,1458.31,-250.6352726,-968.6933927,2.90E-11,0
i0009,CC1OCCCO1,0.67,1451.26,-248.9482757,-941.3717061,3.16E-11,0
i0010,CCC1CCCO1,0.63,1437.35,-245.8900943,-932.1504573,2.63E-11,0
i0011,CCC1COC(=O)O1,0.41,1458.86,-253.3065606,-948.3364461,2.68E-11,0
i0012,CCC1COC(C)O1,0.52,1451.66,-248.1430593,-932.2054035,2.73E-11,0
i0013,CCCC1CCCCO1,0.63,1437.63,-246.8082216,-918.225129,2.68E-11,0
i0014,CCCCOC(C)CC,0.56,1431.03,-246.3799819,-934.467659,2.35E-11,0
i0015,CCCCOCC#N,0.41,1435.87,-245.1854175,-909.3222036,2.49E-11,0
i0016,CCCOCOC(C)C(F)(F)F,0.52,1458.98,-248.1878502,-954.1439889,3.30E-11,1
i0017,CC(=O)COC(C)C#N,0.48,1448.96,-247.8033214,-942.3831637,1.92E-11,0
i0018,CCOCC(C)(F)F,0.41,1456.5,-246.9958845,-934.0210054,1.44E-11,0
i0019,CCOCC1CCCO1,0.37,1441.44,-241.8301197,-911.9646922,3.83E-11,1
i0020,CC(=O)COCC(C)F,0.37,1449.8,-245.3956302,-920.3787486,3.87E-11,1
i0021,CCOCCOCCF,0.44,1445.44,-245.9186007,-934.3549334,3.22E-11,1
i0022,CCOCOC(C)CC,0.44,1437.23,-245.5022589,-939.1762993,2.69E-11,0
i0023,CCOCOCC(C)=O,0.37,1449.33,-247.2416659,-933.7129844,2.33E-11,0
i0024,COC(C)C#N,0.41,1443.96,-247.1504467,-960.1994852,3.05E-11,0
i0025,COC(C)C(C)(F)F,0.52,1451.76,-240.5399661,-964.2459706,3.41E-11,1
i0026,COCC(C)F,0.52,1445.23,-245.3912103,-927.0017783,3.08E-11,0
